Brand,Model,Engine Capacity,Price,Kilometers,Location
Royal Enfield Bullet Classic,2020,346,55500,15123,"Ayanavaram, Chennai"
Yamaha YZF R15,2010,149,48900,58869,"Sholingnallur, Chennai"
Royal Enfield Bullet,2020,346,150000,2000,"Tondiarpet, Chennai"
Bajaj Pulsar NS200,2014,199.5,58000,35000,"Adambakkam, Chennai"
TVS Apache RTR 200,2021,197.75,140000,2500,"Choolaimedu, Chennai"
Honda Dio,2017,109,17500,9536,"Gopalapuram, Chennai"
Royal Enfield Thunderbird 500,2014,499,99999,50000,"Neelankarai, Chennai"
Suzuki Access,2016,124,25000,31000,"New Washermenpet, Chennai"
Honda Activa,2012,109,17000,87000,"West Mambalam, Chennai"
Royal Enfield Bullet Classic,2017,346,NA,42000,"Porur, Chennai"
Hero Glamour Programmed FI,2016,124.8,35000,50000,"NH 16, Chennai"
Yamaha YZF R15,2018,149,95000,21000,"Kovilambakkam, Chennai"
Honda Dio,2015,109,NA,10000,"Porur, Chennai"
Honda CBF Stunner,2009,124.7,15000,22041,"Sholinganallur, Chennai"
Jawa 300,2020,293,170000,5000,"Maduravoyal, Chennai"
Honda CB Unicorn,2010,149.1,22000,47500,"Ekkatuthangal, Chennai"
Royal Enfield Bullet Classic,2018,346,130000,27000,"Maduravoyal, Chennai"
TVS Scooty Zest,2016,109.7,43000,10563,"Selaiyur, Chennai"
Hero Honda CD Dawn,2004,97.2,12000,25000,"Chrompet, Chennai"
Aprilia SR 150,2017,154.4,55000,19000,"Baby Nagar, Chennai"
KTM RC 200,2019,199.5,35000,3508,"Ashok Nagar, Chennai"
Bajaj Pulsar 220F,2016,220,45000,60000,"Anna Nagar West, Chennai"
Honda Activa,2017,109,42000,17500,"Royapettah, Chennai"
Bajaj Avenger 150,2017,150,57000,13700,"Ramapuram, Chennai"
Bajaj Pulsar,2009,NA,19000,22000,"Ambattur, Chennai"
Bajaj Pulsar NS200,2013,199.5,45000,38000,"Annanur, Chennai"
Royal Enfield Bullet Classic,2020,346,50000,15369,"Gummidipundi, Chennai"
Royal Enfield Bullet,2018,346,111000,16800,"Madipakkam, Chennai"
Royal Enfield Thunderbird 500,2014,499,99999,50000,"Neelankarai, Chennai"
Bajaj Pulsar,2009,NA,26000,50000,"Chrompet, Chennai"
Bajaj Pulsar 150,2009,150,25000,75000,"Kovilambakkam, Chennai"
TVS Star Sport,2013,99.7,16500,52300,"Pammal, Chennai"
Yamaha MT-15,2020,155,130000,1500,"Chengalpattu - Thiruporur Road, Chennai"
Bajaj Avenger 160,2021,160.4,100000,8000,"Perungudi, Chennai"
Yamaha RX135,1996,132,100000,NA,"Virugambakkam, Chennai"
Honda CB Twister,2012,109,19500,18000,"Tambaram East, Chennai"
Bajaj Pulsar 220F,2016,220,80000,41000,"Tambaram, Chennai"
Suzuki Swish 125,2014,124,19500,16000,"Ambattur, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8532,"Selaiyur, Chennai"
Bajaj Pulsar NS200,2019,199.5,100000,17648,"Avadi, Chennai"
TVS Victor,2016,109.2,35000,15000,"West Mambalam, Chennai"
Royal Enfield Trials,2019,346,60000,12000,"Chetpet, Chennai"
Bajaj Pulsar 220F,2016,220,50000,60000,"Anna Nagar West, Chennai"
Honda Dio,2017,109,17500,9536,"Manapakkam, Chennai"
Bajaj Pulsar NS200,2020,199.5,90000,17000,"Anna Nagar, Chennai"
Bajaj 4S champion,2021,NA,30000,500,"Alathur, Chennai"
Honda Dio,2017,109,17500,9536,"Kelambakkam, Chennai"
Suzuki GS 150R,2009,149.5,20000,52000,"Alwarpet, Chennai"
Royal Enfield Himalayan,2020,411,186000,15000,"Thiruvalluvar Nagar, Chennai"
Yamaha YZF R15,2010,149,30000,64000,"2Nd Main Road, Chennai"
Hero Passion Pro 100,2011,97.2,19500,40500,"Kodungaiyur, Chennai"
Bajaj Avenger 220,2011,220,23000,55000,"Avadi, Chennai"
Honda Dio,2019,109,52000,22000,"Anna Nagar, Chennai"
Honda CBR150R,2015,149.4,60000,63500,"Madhavaram, Chennai"
Royal Enfield Classic Chrome,2020,499,200000,7800,"Kolathur, Chennai"
TVS Jupiter,2017,109,39500,25000,"Palavakkam, Chennai"
Honda Dio,2017,109,47000,18000,"Perambur, Chennai"
Royal Enfield Bullet Classic,2013,346,77000,60000,"Kattupakkam, Chennai"
Royal Enfield Bullet Classic,2018,346,140000,14700,"Manali New Town, Chennai"
