Brand,Model,Engine Capacity,Price,Kilometers,Location
Yamaha Fazer,2012,123.7,30000,30000,"Velachery, Chennai"
KTM RC 200,2018,199.5,45000,53252,"Greams Road, Chennai"
KTM Duke 200,2016,199.5,25000,15389,"Mannady, Chennai"
Honda Dio,2017,109,12000,9000,"Kalakshetra Colony, Chennai"
Suzuki Access,2018,124,30000,30000,"Pallikaranai, Chennai"
Hero Honda Passion,2007,97.2,20000,95000,"Anna Nagar Western Extn., Chennai"
TVS Jupiter,2017,109,47000,20555,"Thoraipakkam, Chennai"
TVS Heavy Duty Super XL,2011,69.9,NA,20500,"Triplicane, Chennai"
Honda Shine SP,2017,124.73,49999,28000,"Ashok Nagar, Chennai"
Royal Enfield Thunderbird 350,2011,346,85000,25800,"Nungambakkam, Chennai"
Bajaj Pulsar,2010,NA,28000,70000,"Sriperumbudur, Chennai"
TVS Scooty,2017,87.8,36000,17000,"Saidapet, Chennai"
UM Motorcycles Renegade Commando,2017,223,150000,6591,"Mogappair, Chennai"
TVS Heavy Duty Super XL,2020,69.9,55000,250,"Broadway, Chennai"
Yamaha YZF R15,2019,149,130000,31603,"Kolathur, Chennai"
Yamaha FZ S,2011,153,32000,8500,"Anna Nagar West, Chennai"
Yamaha YZF R15,2012,149,55000,40000,"Maduravoyal, Chennai"
Hero Passion Pro 100,2017,97.2,56000,30000,"Keelkattalai, Chennai"
Yamaha YZF R15,2016,149,60000,32500,"Tambaram, Chennai"
Honda Activa 4G,2018,109.2,58000,5800,"Nesapakkam, Chennai"
Honda Shine SP,2019,124.73,70000,10000,"Virugambakkam, Chennai"
Honda Activa 4G,2019,109.2,49999,15000,"Kalpakkam, Chennai"
KTM Duke 200,2016,199.5,25000,15399,"Jamalia, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,5000,"Abhiramapuram, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Anakaputhur, Chennai"
Honda Dio,2017,109,12000,9000,"G K M Colony, Chennai"
Royal Enfield Thunderbird 350X,2018,346,135000,18500,"Raja Annamalaipuram, Chennai"
Bajaj Pulsar,2014,NA,NA,90000,"Chrompet, Chennai"
TVS Scooty,2014,87.8,29000,17301,"Padi, Chennai"
Royal Enfield Bullet Classic,1996,346,90000,NA,"Puzhuthivakkam, Chennai"
Suzuki Gixxer SF 250,2017,249,75000,7979,"Kolathur, Chennai"
Honda Activa,2013,109,26000,16000,"Perambur, Chennai"
Royal Enfield Bullet Classic,2019,346,65000,4500,"Ayanambakkam, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Anna Nagar, Chennai"
KTM Duke 200,2016,199.5,25000,15389,"Thalambur, Chennai"
Royal Enfield Bullet Classic,2017,346,110000,17930,"Poonamallee High Road, Chennai"
Yamaha Saluto,2017,125,45000,35000,"Porur, Chennai"
Bajaj Pulsar 220F,2015,220,62000,43105,"Chrompet, Chennai"
TVS Apache RR 310,2019,312.2,70000,2300,"Abhiramapuram, Chennai"
Honda CB Hornet 160R,2019,162.71,90000,9395,"Sithalapakkam, Chennai"
TVS Apache RTR 160,2012,159.7,12000,55000,"Madipakkam, Chennai"
Yamaha FZ S,2010,153,40000,65000,"Padi, Chennai"
Kinetic Kinetic Honda,2000,NA,NA,14406,"West Mambalam, Chennai"
Honda CB Unicorn 160,2015,162.71,70000,38500,"Mogappair East, Chennai"
Piaggio Vespa,2018,125,90000,11000,"Porur, Chennai"
Royal Enfield Bullet Electra,2003,346,90000,33200,"Anna Nagar West, Chennai"
Royal Enfield Bullet Classic,2017,346,120000,50400,"Thyagaraya Nagar, Chennai"
KTM Duke 200,2014,199.5,80000,26000,"Pallavaram, Chennai"
Bajaj CT 100,2018,99.27,35000,10500,"Selaiyur, Chennai"
Bajaj Pulsar,2013,NA,30000,70700,"Korattur, Chennai"
TVS Scooty Pep,2010,74.6,16000,49000,"Tiruvallikkeni, Chennai"
Ducati Hypermotard,2016,803,700000,29000,"Porur, Chennai"
Yamaha FZ S,2017,153,NA,14000,"Shenoy Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Anna Nagar East, Chennai"
Honda Dio,2016,109,47000,40000,"Adyar, Chennai"
Yamaha YZF R15,2012,149,40000,70000,"Perungalathur, Chennai"
Honda CBR150R,2012,149.4,70000,18250,"Mogappair, Chennai"
Bajaj Discover,2008,134.21,25000,53000,"S. Kolathur, Chennai"
Royal Enfield Thunderbird 350X,2019,346,155000,8600,"Kolathur, Chennai"
Honda Dream Yuga,2017,109,38000,37500,"Chrompet, Chennai"
Royal Enfield Classic Desert Storm,2015,499,150000,5600,"Chrompet, Chennai"
Yamaha RX135,1998,132,80000,1000,"Ambattur, Chennai"
Honda Dream Yuga,2017,109,35000,37500,"Chrompet, Chennai"
TVS Scooty Pep,2011,74.6,16500,47000,"Porur, Chennai"
Yamaha YZF R15,2018,149,120000,25700,"Kolathur, Chennai"
Bajaj Avenger 220,2016,220,60000,17000,"Nanganallur, Chennai"
Royal Enfield Thunderbird 350,2014,346,85000,28000,"Anakaputhur, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,25000,15389,"Indira Nagar, Chennai"
TVS Scooty,2008,NA,NA,NA,"Vivekananda College Madras, Chennai"
Royal Enfield Bullet Electra,2008,346,92000,46000,"Madhavaram, Chennai"
Yamaha RX135,1999,132,75000,15000,"Kodambakkam, Chennai"
Yamaha FZ25,2019,249,120000,10018,"Thiruverkadu, Chennai"
TVS Scooty Pep,2011,74.6,17000,21939,"Velachery, Chennai"
Royal Enfield Thunderbird 500,2013,499,100000,20000,"Nanganallur, Chennai"
Suzuki Burgman Street,2018,124,64000,8663,"Karappakam, Chennai"
Royal Enfield Bullet Classic,2019,346,65000,5500,"Chengalpattu, Chennai"
Triumph Bonneville Street Twin,2016,900,550000,16500,"Adambakkam, Chennai"
TVS Star,2007,NA,10000,50000,"West Mambalam, Chennai"
Royal Enfield Thunderbird 350,2014,346,114999,21000,"Chennai G.p.o., Chennai"
TVS Scooty,2000,NA,NA,26968,"Perungudi, Chennai"
Yamaha YZF R1,2017,998,95000,20000,"Porur, Chennai"
Bajaj Pulsar,2008,200,15000,30000,"Madipakkam, Chennai"
Hero Pleasure 100,2017,102,38000,16700,"Sholinganallur, Chennai"
Honda CB Hornet 160R,2017,162.71,46500,23102,"Kandancavadi, Chennai"
Honda Activa,2013,109,15000,16280,"Mogappair East, Chennai"
Bajaj Pulsar,2018,NA,60000,22000,"Ambattur, Chennai"
Honda Shine SP,2011,124.73,16000,40000,"Chrompet, Chennai"
Honda Shine SP,2011,124.73,18000,40000,"Chrompet, Chennai"
Honda Activa 4G,2019,109.2,25000,7553,"Broadway, Chennai"
Suzuki Access 125,2018,124,60000,5100,"Velachery, Chennai"
KTM Duke 200,2016,199.5,20000,14586,"Mannur, Chennai"
Yamaha FZ S,2010,153,26000,62000,"Mannady, Chennai"
TVS Scooty,2010,87.8,10000,32000,"Kodungaiyur, Chennai"
KTM Duke 250,2018,248.8,150000,24500,"Ambattur, Chennai"
KTM Duke 390,2018,373,210000,14000,"Kundrathur, Chennai"
Royal Enfield Thunderbird 350,2013,346,95000,17800,"Tiruvottiyur, Chennai"
Hero Maestro,2018,109,36000,16100,"Adambakkam, Chennai"
Honda Activa,2009,109,20000,56000,"Maduravoyal, Chennai"
Honda CB Twister,2011,109,12000,48000,"Washermanpet, Chennai"
Hero Honda CBZ,2000,156.8,30000,36000,"Thyagaraya Nagar, Chennai"
Honda Shine SP,2011,124.73,22000,40000,"Chitlapakkam, Chennai"
Bajaj Pulsar,2012,NA,13500,65000,"Choolaimedu, Chennai"
Yamaha FZ S,2013,153,32000,28000,"Tambaram West, Chennai"
Yamaha FZ S,2013,153,55000,48059,"Mogappair West, Chennai"
Honda CB Unicorn,2011,149.1,26000,65000,"Chrompet, Chennai"
Suzuki Gixxer,2016,155,45000,33000,"Mugalivakkam, Chennai"
Yamaha FZ S,2015,153,59999,34000,"Ramapuram, Chennai"
Jawa Forty Two,2020,293,190000,4000,"Mogappair West, Chennai"
Royal Enfield Thunderbird 350X,2019,346,NA,6600,"Ashok Nagar, Chennai"
TVS Apache,2007,NA,18900,58563,"Medavakkam, Chennai"
Yamaha FZ S,2019,153,75000,10200,"Vanuvampet, Chennai"
TVS Scooty,2013,87.8,25500,40000,"Pallikaranai, Chennai"
Honda Activa,2010,109,25000,25000,"Padappai, Chennai"
Honda Dream Yuga,2014,109,15000,30000,"Pallikaranai, Chennai"
Hero Passion Pro 100,2010,97.2,23000,70000,"Velachery, Chennai"
Hero Passion Pro 100,2010,97.2,25000,70000,"High Court Building, Chennai"
Royal Enfield Interceptor 650,2019,648,260000,3000,"Nanganallur, Chennai"
Hero Pleasure 100,2018,102,25000,23000,"Pattabiram, Chennai"
KTM RC 390,2015,373.27,21000,11000,"Govt Stanley Hospital, Chennai"
Bajaj CT 100,2020,99.27,50000,1200,"Ambattur, Chennai"
Royal Enfield Thunderbird 350,2018,346,95000,18000,"Kolathur, Chennai"
Royal Enfield Bullet Classic,2018,499,170000,13500,"Triplicane, Chennai"
Bajaj Avenger 220,2017,220,65000,17400,"S. Kolathur, Chennai"
Harley Davidson Street 750,2016,749,340000,3300,"Nungambakkam, Chennai"
Yamaha FZ S,2020,153,98000,10500,"Saidapet, Chennai"
Benelli TNT 25,2016,249,110000,35000,"Keelkattalai, Chennai"
Yamaha FZ 16,2013,153,36000,25000,"Mylapore, Chennai"
TVS Apache,2006,NA,13000,70000,"Iyyappanthangal, Chennai"
Royal Enfield Bullet,2006,346,135000,37000,"Maraimalai Nagar, Chennai"
Bajaj Pulsar AS150,2015,149.5,37000,31000,"Anna Nagar Western Extn., Chennai"
KTM RC 200,2017,199.5,120000,30000,"Mogappair East, Chennai"
Bajaj Discover 150,2011,144.8,16000,55000,"Saidapet, Chennai"
TVS Scooty,2019,87.8,55000,8913,"Ayappakkam, Chennai"
Honda Dio,2018,109,48000,11270,"Porur, Chennai"
Bajaj Avenger 220,2018,220,90000,18500,"Ambattur, Chennai"
Bajaj Pulsar RS200,2015,199.5,70000,36000,"Porur, Chennai"
Honda Activa,2006,109,10500,15000,"Anna Salai, Chennai"
TVS Victor,2006,109.3,NA,65000,"Irumbuliyur, Chennai"
Royal Enfield Thunderbird 350,2018,346,120000,16000,"Manapakkam, Chennai"
TVS Apache RR 310,2018,312.2,165000,16500,"Adyar, Chennai"
Royal Enfield Thunderbird 350X,2019,346,165000,19250,"Kolathur, Chennai"
Royal Enfield Bullet,NA,346,125000,16500,"Royapettah, Chennai"
Hero Glamour 125,2014,124.8,36500,29500,"Old Pallavaram, Chennai"
Bajaj Pulsar NS200,2018,199.5,95000,16600,"Anakaputhur, Chennai"
Royal Enfield Bullet,2016,346,92000,21000,"Thiruvanmiyur, Chennai"
TVS Victor,2017,109.2,45000,21100,"Chrompet, Chennai"
Bajaj XCD,2007,125,NA,125800,"Guindy, Chennai"
TVS Scooty,2013,87.8,25500,40000,"Pallikaranai, Chennai"
KTM Duke 200,2016,199.5,25000,9852,"Kalpakkam, Chennai"
Honda CB Unicorn 160,2017,162.71,65000,36500,"Madipakkam, Chennai"
Royal Enfield Bullet 500,2017,499,160000,20900,"Washermanpet, Chennai"
Hero Splendor Plus 100,2006,97.2,NA,84062,"Sholingnallur, Chennai"
Royal Enfield Bullet Classic,2018,346,130000,30000,"Tambaram, Chennai"
Bajaj Avenger,2006,178.6,60000,5000,"Villivakkam, Chennai"
Bajaj Pulsar RS200,2016,199.5,65000,55000,"Ayanavaram, Chennai"
Honda Activa,2012,109,20000,60000,"Perambur Barracks, Chennai"
TVS Star,2007,NA,16000,64400,"Vadapalani, Chennai"
Yamaha RX135,2000,132,80000,NA,"Perungalathur, Chennai"
Yamaha RX100,NA,NA,93000,21500,"Sentamil Nagar, Chennai"
TVS Scooty,2013,87.8,17500,20000,"Kazhipattur, Chennai"
Royal Enfield Bullet Classic,2017,346,114999,29800,"Teynampet, Chennai"
Honda Dio,2017,109,53000,8000,"Thyagaraya Nagar, Chennai"
Royal Enfield Bullet Classic,2020,346,167000,3100,"Sholingnallur, Chennai"
Bajaj Avenger 220,2017,220,90000,10450,"Chintadripet, Chennai"
Yamaha FZ S,2018,153,85000,10800,"Kolathur, Chennai"
Bajaj Pulsar 220F,2015,220,45000,45350,"Madipakkam, Chennai"
Royal Enfield Bullet Electra Twinspark,2010,346,70000,2850,"Velachery, Chennai"
Honda Activa,2014,109,NA,NA,"Korattur, Chennai"
Yamaha YZF R15,2018,149,80000,38000,"Sithalapakkam, Chennai"
Honda Activa 4G,2017,109.2,18000,8120,"Cathedral Road, Chennai"
Honda Activa 4G,2019,109.2,17500,6500,"Ashok Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15248,"Korattur, Chennai"
KTM RC 125,2020,124.7,35000,5500,"Anna Nagar West, Chennai"
KTM Duke 200,2016,199.5,55000,15298,"Chepauk, Chennai"
Hero Ignitor,2013,125,22000,30000,"Madhavaram, Chennai"
KTM RC 200,2018,199.5,43500,11588,"Kundrathur, Chennai"
KTM Duke 390,2018,373,45000,14277,"Choolaimedu, Chennai"
Hero Passion Pro 100,2018,97.2,45000,18000,"Chengalpattu - Thiruporur Road, Chennai"
Royal Enfield Thunderbird 350,2019,346,140000,24000,"Mylapore, Chennai"
TVS Scooty,2010,87.8,17000,25000,"Gandhi Nagar, Chennai"
Royal Enfield Thunderbird 350,2018,346,110000,30000,"Korukkupet, Chennai"
KTM RC 200,2018,199.5,158000,13000,"Saidapet, Chennai"
Bajaj Pulsar,2019,NA,75000,28534,"Maduravoyal, Chennai"
Bajaj Pulsar RS200,2015,199.5,75000,28000,"Virugambakkam, Chennai"
TVS Apache RR 310,2018,312.2,165000,16500,"Adyar, Chennai"
TVS Scooty Zest,2015,109.7,35000,30000,"Nanganallur, Chennai"
Bajaj Discover F150,2015,144.8,22500,21078,"Perungudi, Chennai"
Yamaha RX100,NA,NA,125000,15000,"Korattur, Chennai"
Suzuki Access,2012,124,16500,21067,"Perungudi, Chennai"
Yamaha Fazer,2019,123.7,76000,13000,"Ambattur, Chennai"
Suzuki Gixxer,2017,155,50000,22000,"Royapettah, Chennai"
Bajaj Avenger 220,2017,220,80000,17400,"S. Kolathur, Chennai"
Honda Activa 125cc,2017,124.9,47500,33700,"Tharamani, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Chembarambakkam, Chennai"
Honda Activa 4G,2018,109.2,15000,3214,"Cholavaram, Chennai"
Royal Enfield Bullet Classic,2018,346,45000,9852,"Iyyappanthangal, Chennai"
KTM Duke 200,2016,199.5,20000,155,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,30000,25442,"Aminjikarai, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,11212,"Gummidipundi, Chennai"
Royal Enfield Bullet Classic,2019,346,175000,5720,"Madhavaram, Chennai"
Yamaha FZ S,2014,153,35000,35000,"Avadi, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,20000,"Indira Nagar, Chennai"
Honda Activa 4G,2019,109.2,56000,12000,"Perambur, Chennai"
Royal Enfield Thunderbird 350X,2019,346,165000,8000,"Anna Salai, Chennai"
Yamaha FZ25,2017,249,80000,36500,"Pallavaram, Chennai"
Honda Grazia,2020,124.9,73000,15000,"Arakkonam, Chennai"
Bajaj Pulsar 220F,2018,220,77000,33956,"Injambakkam, Chennai"
Suzuki Hayate,2015,112.8,NA,45000,"Saidapet, Chennai"
Royal Enfield Interceptor 650,2019,648,280000,8000,"Kolathur, Chennai"
Royal Enfield Bullet Classic,2018,346,155000,3658,"Chitlapakkam, Chennai"
Yamaha RX100,NA,NA,90000,39000,"Guduvanchery, Chennai"
TVS Star,2011,NA,15000,50250,"Madambakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,45000,22000,"Aranvoyal, Chennai"
KTM RC 200,2018,199.5,45000,6370,"Flower Bazaar, Chennai"
Royal Enfield Bullet Classic,2020,346,60000,7500,"Alathur, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,25000,"Fort St George, Chennai"
KTM Duke 200,2016,199.5,55000,15298,"Alandur, Chennai"
KTM RC 390,2015,373.27,21000,11000,"Ariyalur, Chennai"
Bajaj Pulsar 220F,2016,220,80000,16700,"Perambur, Chennai"
KTM Duke 200,2016,199.5,25000,15385,"Moolakadai, Chennai"
Benelli TNT 25,2016,249,110000,31000,"Okkiyam Thuraipakkam, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,20000,"Washermanpet, Chennai"
KTM Duke 200,2016,199.5,25000,15389,"Gandhi Irwin Road, Chennai"
Honda Activa 4G,2018,109.2,15000,3214,"Cholambedu, Chennai"
KTM Duke 390,2018,373,45000,14247,"Kodambakkam, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,20000,15240,"Kazhipattur, Chennai"
Yamaha YZF R15,2012,149,70000,33030,"Villivakkam, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,25000,"Indira Nagar, Chennai"
KTM Duke 390,2018,373,45000,5246,"Ayanavaram, Chennai"
KTM Duke 390,2018,373,45000,5238,"Ethiraj Salai, Chennai"
Hero Passion Pro 100,2016,97.2,49000,47000,"Nerkundram, Chennai"
KTM Duke 200,2014,199.5,95000,40656,"Pallikaranai, Chennai"
Bajaj Pulsar 150,2012,150,25000,NA,"Kelambakkam, Chennai"
Honda Activa,2012,109,22000,35000,"Siruseri, Chennai"
TVS Apache RR 310,2019,312.2,220000,4345,"Thiruvanmiyur, Chennai"
TVS Scooty,2016,87.8,27500,19800,"Porur, Chennai"
Suzuki Intruder 150,2018,154.9,75000,16000,"Thoraipakkam, Chennai"
Bajaj Avenger 220,2013,220,25000,22000,"Thiruvanmiyur, Chennai"
Hero Passion Pro 100,2009,97.2,16500,70000,"Nolambur, Chennai"
Yamaha YZF R15,2020,149,155000,5000,"Kodambakkam, Chennai"
Yamaha RX135,2001,132,100000,5000,"Mogappair East, Chennai"
Royal Enfield Bullet,1999,346,150000,65000,"Navallur, Chennai"
KTM Duke 125,2019,124.7,110000,17500,"Injambakkam, Chennai"
Yamaha YZF R1,2017,998,87000,4200,"Tondiarpet, Chennai"
Yamaha FZ S,2019,153,100000,5000,"Thoraipakkam, Chennai"
Yamaha Fazer,2015,123.7,57000,26000,"Kattupakkam, Chennai"
KTM Duke 200,2014,199.5,95000,40654,"Pallikaranai, Chennai"
Honda Activa 125cc,2020,124.9,99999,275,"Ambattur, Chennai"
Bajaj Pulsar,2011,134.66,25000,10000,"Mannivakkam, Chennai"
TVS Jupiter,2019,109,57500,12354,"Maduravoyal, Chennai"
TVS Ntorq 125,2019,124.79,58000,12532,"Maduravoyal, Chennai"
Yamaha FZ S,2010,153,40000,65000,"Korattur, Chennai"
TVS Star,2007,NA,14000,40000,"Thiruvanmiyur, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,12500,"Chennai G.p.o., Chennai"
Yamaha FZ25,2018,249,90000,12000,"Tiruvottiyur, Chennai"
BMW R nineT,2019,1170,256000,6231,"Kodungaiyur, Chennai"
Honda Dream Yuga,2015,109,29500,28500,"Moolakadai, Chennai"
KTM Duke 200,2016,199.5,20000,15520,"Anna Road H.o, Chennai"
Royal Enfield Bullet Classic,2013,346,90000,40000,"Teynampet, Chennai"
Hero Splendor Plus 100,2012,97.2,28000,38000,"Thiruvallur Road, Chennai"
Bajaj Discover 150S,2015,144.8,25000,32000,"Virugambakkam, Chennai"
Royal Enfield Bullet Electra Twinspark,2016,346,100000,9000,"Tambaram West, Chennai"
Hero Honda Karizma,2014,223,32000,36000,"Perambur, Chennai"
Honda Activa 4G,2016,109.2,14500,11578,"Fort St.George, Chennai"
Honda Activa 125cc,2020,124.9,72000,2300,"Kolathur, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,5000,"Balavinayagar Nagar, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"East Coast Road, Chennai"
Royal Enfield Bullet Classic,2017,346,45000,12978,"Chrompet, Chennai"
KTM Duke 200,2016,199.5,20000,15248,"Periyar Nagar, Chennai"
KTM Duke 250,2020,248.8,40000,6500,"East Coast Road, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,12800,"Alandur, Chennai"
Honda Shine SP,2012,124.73,24000,88000,"Egmore, Chennai"
Honda Activa 4G,2018,109.2,15000,3214,"Besant Nagar, Chennai"
KTM RC 200,2016,199.5,22000,17000,"Chepauk, Chennai"
Bajaj Pulsar NS200,2018,199.5,80000,20000,"Pallavaram, Chennai"
KTM RC 200,2016,199.5,65000,21000,"Adambakkam, Chennai"
KTM RC 200,2019,199.5,185000,15000,"Madipakkam, Chennai"
Bajaj Discover 100 M,2013,102,16000,45880,"Ayanavaram, Chennai"
Bajaj Pulsar 180,2017,178.6,75000,17500,"Medavakkam, Chennai"
Bajaj Discover 100 M,2010,102,10000,9228,"Redhills, Chennai"
Royal Enfield Bullet Classic,2019,346,65000,7580,"Chitlapakkam, Chennai"
Honda CB Unicorn,2012,149.1,28000,50000,"Thiruvanmiyur, Chennai"
Yamaha YZF R15,2020,149,163000,1800,"Santhome, Chennai"
Bajaj Super,NA,145.5,11000,12000,"Alwarpet, Chennai"
Bajaj Super,NA,145.5,11000,12000,"Alwarpet, Chennai"
Royal Enfield Bullet Classic,2016,346,94000,21000,"Thiruvalluvar Nagar, Chennai"
Royal Enfield Thunderbird 350,2005,346,60000,200000,"Tambaram West, Chennai"
Bajaj Pulsar 180,2010,178.6,10000,10000,"Ambattur Industrial Estate, Chennai"
Royal Enfield Classic Desert Storm,2014,499,100000,12000,"Adyar, Chennai"
Honda CB Hornet 160R,2018,162.71,80000,25000,"Porur, Chennai"
Yamaha FZ S,2015,153,55000,27000,"Sithalapakkam, Chennai"
Yamaha RX100,2006,NA,95000,40000,"Urapakkam, Chennai"
Suzuki Access,2012,124,20000,50000,"Ambattur, Chennai"
KTM RC 200,2018,199.5,45000,6370,"D G Vaishnav College, Chennai"
KTM RC 200,2018,199.5,30000,14500,"Arambakkam, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Chengalpattu - Thiruporur Road, Chennai"
KTM Duke 200,2016,199.5,55000,15298,"Adambakkam, Chennai"
KTM RC 200,2016,199.5,22000,17000,"Chitlapakkam, Chennai"
Bajaj Pulsar 220F,2013,220,38000,62000,"Selaiyur, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,11425,"Balavinayagar Nagar, Chennai"
Honda Dio,2020,109,63000,4600,"Velachery, Chennai"
Yamaha YZF R1,2020,998,140000,13000,"Ambattur, Chennai"
TVS Heavy Duty Super XL,2006,69.9,12000,10400,"Iyyappanthangal, Chennai"
TVS Apache RTR 160,2013,159.7,33000,30000,"Adambakkam, Chennai"
Bajaj Avenger,2015,178.6,35000,15000,"Aminjikarai, Chennai"
KTM Duke 200,2016,199.5,55000,15298,"Abhiramapuram, Chennai"
KTM RC 200,2018,199.5,30000,14500,"Dr.Radhakrishnan Salai, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,5000,"Kalavakkam, Chennai"
KTM Duke 390,2018,373,55000,15055,"Jawahar Nagar, Chennai"
Hyosung GT250R,2016,249,200000,9600,"Thiruvottiyur, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,25000,"Chennai G.p.o., Chennai"
Honda Activa 4G,2018,109.2,15000,3214,"Chintadripet, Chennai"
KTM Duke 250,2020,248.8,40000,6500,"Anna Nagar Western Extn., Chennai"
Honda Activa,2014,109,25000,63000,"Ambattur, Chennai"
TVS Apache RTR 160,2009,159.7,13000,NA,"Medavakkam, Chennai"
Bajaj Avenger,2012,178.6,27500,20000,"Kodambakkam, Chennai"
TVS Apache RTR 200,2016,197.75,62000,19200,"Thiruvallur Road, Chennai"
Honda Dio,2019,109,65000,13500,"Ramapuram, Chennai"
Yamaha YZF R15,2017,149,120000,8000,"Purasawakkam, Chennai"
Bajaj Avenger 150,2017,150,65000,9200,"Madambakkam, Chennai"
Honda Activa 4G,2017,109.2,53000,14200,"Vyasar Nagar Colony, Chennai"
Mahindra Gusto,2016,109.6,35000,6446,"Manapakkam, Chennai"
Yamaha RX100,1996,NA,93000,1856,"Poonamallee, Chennai"
KTM Duke 390,2018,373,45000,14247,"Kattupakkam, Chennai"
Honda CB Hornet 160R,2018,162.71,65000,25000,"Velachery, Chennai"
Yamaha YZF R15,2017,149,120000,8000,"Purasawalkam, Chennai"
Hero Super Splendor 125,2006,124.7,10000,20000,"Mandaveli, Chennai"
Bajaj Pulsar,2008,NA,25000,50000,"Poonamallee, Chennai"
Yamaha FZ S,2012,153,25000,42000,"Padi, Chennai"
Honda Dio,2014,109,20000,14000,"Ambattur, Chennai"
Bajaj Pulsar 220F,2019,220,98000,12000,"Jawahar Nagar, Chennai"
Bajaj Pulsar RS200,2017,199.5,95000,27360,"Medavakkam, Chennai"
TVS Scooty,2006,NA,NA,18000,"Kilpauk, Chennai"
Honda Shine SP,2012,124.73,16500,55000,"Purasawakkam, Chennai"
Honda Activa,2020,109,82486,NA,"Thyagaraya Nagar, Chennai"
Bajaj Discover 150,2012,144.8,15000,58200,"Ambattur, Chennai"
Yamaha FZ-1,2011,998,32000,47000,"Royapettah, Chennai"
TVS Scooty,2010,87.8,12500,29018,"Perungudi, Chennai"
Yamaha Fazer,2010,123.7,22500,65000,"Pallikaranai, Chennai"
Honda Aviator,2010,102,20000,21000,"Ambattur, Chennai"
Bajaj Pulsar 180,2016,178.6,58000,16060,"Mambalam, Chennai"
Hero Passion Pro 100,2015,97.2,33500,55829,"Aminjikarai, Chennai"
Bajaj Avenger,2014,178.6,39000,41000,"Allapakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,11278,"Jafferkhanpet, Chennai"
KTM Duke 200,2016,199.5,55000,15298,"Abhiramapuram, Chennai"
KTM Duke 390,2018,373,45000,14245,"Kavaraipettai, Chennai"
Honda Activa,2011,109,22000,27000,"Royapuram, Chennai"
TVS Apache RTR 160,2013,159.7,30000,30000,"Adambakkam, Chennai"
Honda Activa,2007,109,20000,41500,"Perungudi, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,5500,"Getnamalli, Chennai"
Bajaj Pulsar 180,2013,178.6,27000,62000,"Tondiarpet, Chennai"
Royal Enfield Bullet Classic,2017,346,130000,25000,"Ambattur, Chennai"
Bajaj Pulsar,2013,NA,30000,65000,"Anna Nagar, Chennai"
Hero Splendor Plus 100,2001,97.2,10000,60000,"Alwarthirunagar, Chennai"
Honda CB Unicorn,2011,149.1,26000,40000,"Thirumazhisai, Chennai"
Hero Passion Pro 100,2015,97.2,40000,26000,"Triplicane, Chennai"
Honda Activa 4G,2018,109.2,15000,31214,"Avadi, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,8520,"Edapalayam, Chennai"
KTM Duke 200,2016,199.5,20000,15249,"Nungambakkam, Chennai"
Honda Activa 4G,2019,109.2,17500,8500,"Ayanavaram, Chennai"
Yamaha SZ-R,2010,153,18000,36000,"Kovilambakkam, Chennai"
KTM RC 200,2018,199.5,30000,14500,"Aranvoyal, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,12750,"Alandur, Chennai"
Bajaj Pulsar 150,2018,150,58000,57000,"Perungalathur, Chennai"
Harley Davidson Street 750,2019,749,550000,7200,"Taramani, Chennai"
Kawasaki Bajaj Ninja 300,2009,296,170000,15200,"Taramani, Chennai"
Yamaha FZ25,2018,249,85000,26000,"Injambakkam, Chennai"
Honda Shine SP,2013,124.73,29900,34620,"Porur, Chennai"
Kawasaki Bajaj Ninja 300,2009,296,170000,15200,"Taramani, Chennai"
Royal Enfield Bullet Classic,2017,346,30000,17500,"Arakkonam, Chennai"
Hero Honda Passion,2008,97.2,30000,20000,"Redhills, Chennai"
